caseid,weight,vote2020,biden_winner,pres_vote,birthyr,age,age9,gender,marstat,employ,faminc_new,pid3,pid7,presvote16post,inputzip,inputstate,educ7,hispanic,ethnicity,votereg,wave
35012908,1.24454773515018,I am sure I voted,Definitely the rightful winner,Donald Trump,1932,88,85 or older,Male,Widowed,Retired,"$60,000 - $69,999",Republican,Not very strong Republican,Donald Trump,2744,Massachusetts,High school diploma or the equivalent (GED),No,White,Yes,13
390811912,1.27926794556453,I did not vote in the election this November,Probably the rightful winner,NA,1978,42,35 - 44,Female,Married,Full-time,"$50,000 - $59,999",Independent,Independent,Did not vote for President,75801,Texas,Bachelor's degree,No,Black or African American,No,13
134737774,1.02905252859837,I am sure I voted,Definitely the rightful winner,Joe Biden,1987,33,25 - 34,Female,Married,Full-time,"$150,000 - $199,999",Democrat,Strong Democrat,Hillary Clinton,17102,Pennsylvania,Master's degree,No,White,Yes,13
36666634,1.07145817487715,I am sure I voted,Definitely not the rightful winner,Donald Trump,1982,38,35 - 44,Female,Married,Full-time,"$100,000 - $119,999",Republican,Strong Republican,Donald Trump,33773,Florida,Bachelor's degree,No,Hispanic/Latino/Chicano/a,Yes,13
168278503,0.749310262582228,I am sure I voted,Definitely not the rightful winner,Donald Trump,1984,36,35 - 44,Female,Married,Homemaker,"$40,000 - $49,999",Independent,Lean Republican,Did not vote for President,33063,Florida,Associate's degree,Yes,Hispanic/Latino/Chicano/a,Yes,13
6853117,1.07445208331095,I am sure I voted,Probably not the rightful winner,Donald Trump,1949,71,65 - 74,Male,Married,Retired,"$50,000 - $59,999",Republican,Strong Republican,Donald Trump,7739,New Jersey,High school diploma or the equivalent (GED),No,White,Yes,13
163856311,1.13822903899768,I am sure I voted,Probably not the rightful winner,Donald Trump,1996,24,18 - 24,Female,Never married,Full-time,"$10,000 - $19,999",Republican,Not very strong Republican,Donald Trump,27330,North Carolina,Master's degree,No,White,Yes,13
302984248,0.577425288603524,I am sure I voted,Definitely the rightful winner,Joe Biden,1976,44,35 - 44,Male,Never married,Unemployed,"$10,000 - $19,999",Democrat,Not very strong Democrat,Other,21222,Maryland,High school diploma or the equivalent (GED),No,Multi-racial,Yes,13
342000490,0.763164263518716,I am sure I voted,Definitely the rightful winner,Joe Biden,1974,46,45 - 54,Female,Divorced,Homemaker,"$80,000 - $99,999",Democrat,Strong Democrat,Hillary Clinton,6790,Connecticut,High school diploma or the equivalent (GED),No,White,Yes,13
159117688,0.749310262582228,"I thought about voting this time, but didn't",Probably the rightful winner,NA,1987,33,25 - 34,Female,Married,Full-time,"$30,000 - $39,999",Democrat,Strong Democrat,Did not vote for President,11204,New York,Some college,Yes,American Indian or Alaska Native,No,13
206807254,0.684306663648794,I am sure I voted,Definitely the rightful winner,Joe Biden,1955,65,65 - 74,Male,Married,Part-time,"$30,000 - $39,999",Democrat,Strong Democrat,Hillary Clinton,46619,Indiana,Some college,No,White,Yes,13
199202584,0.680925311351617,I am sure I voted,Definitely the rightful winner,Joe Biden,1981,39,35 - 44,Female,Married,Part-time,"$30,000 - $39,999",Democrat,Not very strong Democrat,Hillary Clinton,56353,Minnesota,High school diploma or the equivalent (GED),No,Multi-racial,Yes,13
199510996,0.942499474156439,I am sure I voted,Definitely the rightful winner,Joe Biden,1992,28,25 - 34,Male,Domestic / civil partnership,Full-time,"$60,000 - $69,999",Other,Lean Democrat,Hillary Clinton,55432,Minnesota,Bachelor's degree,No,White,Yes,13
140177950,1.06408550497027,I am sure I voted,Definitely not the rightful winner,Donald Trump,1965,55,55 - 64,Male,Married,Retired,"Less than $10,000",Republican,Strong Republican,Donald Trump,16693,Pennsylvania,High school diploma or the equivalent (GED),No,White,Yes,13
216255193,1.2039327269154,I am sure I voted,Definitely not the rightful winner,Donald Trump,1938,82,75 - 84,Female,Divorced,Retired,"$20,000 - $29,999",Republican,Strong Republican,Donald Trump,40741,Kentucky,High school diploma or the equivalent (GED),No,White,Yes,13
33397972,0.684306663648794,I am sure I voted,Definitely the rightful winner,Joe Biden,1941,79,75 - 84,Male,Married,Retired,"$60,000 - $69,999",Independent,Lean Democrat,Hillary Clinton,48114,Michigan,Some college,No,White,Yes,13
200941963,0.846927703089884,I am sure I voted,Definitely the rightful winner,Joe Biden,1987,33,25 - 34,Female,Married,Homemaker,"$100,000 - $119,999",Democrat,Not very strong Democrat,Hillary Clinton,46227,Indiana,Some college,No,White,Yes,13
138394138,1.25685347356595,I am sure I voted,Definitely not the rightful winner,Donald Trump,1963,57,55 - 64,Male,Never married,Unemployed,Prefer not to say,Independent,Independent,Donald Trump,80747,Colorado,High school diploma or the equivalent (GED),Yes,White,Yes,13
192235612,1.20157737765251,I am sure I voted,Probably not the rightful winner,Donald Trump,1960,60,55 - 64,Female,Married,Part-time,"$150,000 - $199,999",Independent,Lean Republican,Donald Trump,25425,West Virginia,Bachelor's degree,No,White,Yes,13
126417157,0.60255440662904,I am sure I voted,Probably not the rightful winner,Donald Trump,1941,79,75 - 84,Male,Married,Retired,"$30,000 - $39,999",Independent,Independent,Donald Trump,85541,Arizona,Some college,No,Multi-racial,Yes,13
143908822,1.32839524676283,I am sure I voted,Probably not the rightful winner,Donald Trump,1959,61,55 - 64,Male,Married,Full-time,"$150,000 - $199,999",Republican,Strong Republican,Donald Trump,92887,California,Bachelor's degree,No,White,Yes,13
